"density","mach","pressure","temperature","vel_x","vel_y","vel_z","Points:0","Points:1","Points:2"
1.22500e+00,1.65382e-22,1.01325e+05,2.88000e+02,5.62785e-20,0.00000e+00,0.00000e+00,5.00000e-03,0.00000e+00,0.00000e+00
1.22500e+00,2.19397e-21,1.01325e+05,2.88000e+02,7.46596e-19,0.00000e+00,0.00000e+00,1.50000e-02,0.00000e+00,0.00000e+00
1.22500e+00,9.08437e-21,1.01325e+05,2.88000e+02,3.09136e-18,0.00000e+00,0.00000e+00,2.50000e-02,0.00000e+00,0.00000e+00
1.22500e+00,6.16826e-20,1.01325e+05,2.88000e+02,-2.09902e-17,0.00000e+00,0.00000e+00,3.50000e-02,0.00000e+00,0.00000e+00
1.22500e+00,6.00768e-17,1.01325e+05,2.88000e+02,2.04438e-14,0.00000e+00,0.00000e+00,4.50000e-02,0.00000e+00,0.00000e+00
1.22500e+00,2.86376e-16,1.01325e+05,2.88000e+02,9.74521e-14,0.00000e+00,0.00000e+00,5.50000e-02,0.00000e+00,0.00000e+00
1.22500e+00,1.20919e-15,1.01325e+05,2.88000e+02,4.11481e-13,0.00000e+00,0.00000e+00,6.50000e-02,0.00000e+00,0.00000e+00
1.22500e+00,4.44865e-15,1.01325e+05,2.88000e+02,1.51385e-12,0.00000e+00,0.00000e+00,7.50000e-02,0.00000e+00,0.00000e+00
1.22500e+00,1.61627e-14,1.01325e+05,2.88000e+02,5.50008e-12,0.00000e+00,0.00000e+00,8.50000e-02,0.00000e+00,0.00000e+00
1.22500e+00,5.74729e-14,1.01325e+05,2.88000e+02,1.95577e-11,0.00000e+00,0.00000e+00,9.50000e-02,0.00000e+00,0.00000e+00
1.22500e+00,2.01013e-13,1.01325e+05,2.88000e+02,6.84036e-11,0.00000e+00,0.00000e+00,1.05000e-01,0.00000e+00,0.00000e+00
1.22500e+00,6.91593e-13,1.01325e+05,2.88000e+02,2.35345e-10,0.00000e+00,0.00000e+00,1.15000e-01,0.00000e+00,0.00000e+00
1.22500e+00,2.34151e-12,1.01325e+05,2.88000e+02,7.96802e-10,0.00000e+00,0.00000e+00,1.25000e-01,0.00000e+00,0.00000e+00
1.22500e+00,7.79777e-12,1.01325e+05,2.88000e+02,2.65353e-09,0.00000e+00,0.00000e+00,1.35000e-01,0.00000e+00,0.00000e+00
1.22500e+00,2.55286e-11,1.01325e+05,2.88000e+02,8.68724e-09,0.00000e+00,0.00000e+00,1.45000e-01,0.00000e+00,0.00000e+00
1.22500e+00,8.21099e-11,1.01325e+05,2.88000e+02,2.79415e-08,0.00000e+00,0.00000e+00,1.55000e-01,0.00000e+00,0.00000e+00
1.22500e+00,2.59290e-10,1.01325e+05,2.88000e+02,8.82347e-08,0.00000e+00,0.00000e+00,1.65000e-01,0.00000e+00,0.00000e+00
1.22500e+00,8.03328e-10,1.01325e+05,2.88000e+02,2.73368e-07,0.00000e+00,0.00000e+00,1.75000e-01,0.00000e+00,0.00000e+00
1.22500e+00,2.44004e-09,1.01325e+05,2.88000e+02,8.30330e-07,0.00000e+00,0.00000e+00,1.85000e-01,0.00000e+00,0.00000e+00
1.22500e+00,7.26027e-09,1.01325e+05,2.88000e+02,2.47063e-06,0.00000e+00,0.00000e+00,1.95000e-01,0.00000e+00,0.00000e+00
1.22500e+00,2.11445e-08,1.01325e+05,2.88000e+02,7.19533e-06,0.00000e+00,0.00000e+00,2.05000e-01,0.00000e+00,0.00000e+00
1.22500e+00,6.02194e-08,1.01325e+05,2.88000e+02,2.04923e-05,0.00000e+00,0.00000e+00,2.15000e-01,0.00000e+00,0.00000e+00
1.22500e+00,1.67554e-07,1.01325e+05,2.88000e+02,5.70175e-05,0.00000e+00,0.00000e+00,2.25000e-01,0.00000e+00,0.00000e+00
1.22500e+00,4.54989e-07,1.01325e+05,2.88000e+02,1.54830e-04,0.00000e+00,0.00000e+00,2.35000e-01,0.00000e+00,0.00000e+00
1.22500e+00,1.20447e-06,1.01325e+05,2.88000e+02,4.09874e-04,0.00000e+00,0.00000e+00,2.45000e-01,0.00000e+00,0.00000e+00
1.22500e+00,3.10472e-06,1.01325e+05,2.88000e+02,1.05652e-03,0.00000e+00,0.00000e+00,2.55000e-01,0.00000e+00,0.00000e+00
1.22499e+00,7.78255e-06,1.01324e+05,2.87999e+02,2.64835e-03,0.00000e+00,0.00000e+00,2.65000e-01,0.00000e+00,0.00000e+00
1.22498e+00,1.89450e-05,1.01322e+05,2.87998e+02,6.44683e-03,0.00000e+00,0.00000e+00,2.75000e-01,0.00000e+00,0.00000e+00
1.22495e+00,4.47190e-05,1.01319e+05,2.87995e+02,1.52175e-02,0.00000e+00,0.00000e+00,2.85000e-01,0.00000e+00,0.00000e+00
1.22487e+00,1.02194e-04,1.01311e+05,2.87988e+02,3.47752e-02,0.00000e+00,0.00000e+00,2.95000e-01,0.00000e+00,0.00000e+00
1.22472e+00,2.25711e-04,1.01293e+05,2.87974e+02,7.68048e-02,0.00000e+00,0.00000e+00,3.05000e-01,0.00000e+00,0.00000e+00
1.22441e+00,4.80963e-04,1.01257e+05,2.87945e+02,1.63653e-01,0.00000e+00,0.00000e+00,3.15000e-01,0.00000e+00,0.00000e+00
1.22379e+00,9.87001e-04,1.01185e+05,2.87886e+02,3.35804e-01,0.00000e+00,0.00000e+00,3.25000e-01,0.00000e+00,0.00000e+00
1.22262e+00,1.94722e-03,1.01049e+05,2.87776e+02,6.62368e-01,0.00000e+00,0.00000e+00,3.35000e-01,0.00000e+00,0.00000e+00
1.22049e+00,3.68743e-03,1.00803e+05,2.87576e+02,1.25389e+00,0.00000e+00,0.00000e+00,3.45000e-01,0.00000e+00,0.00000e+00
1.21682e+00,6.69448e-03,1.00380e+05,2.87233e+02,2.27505e+00,0.00000e+00,0.00000e+00,3.55000e-01,0.00000e+00,0.00000e+00
1.21080e+00,1.16438e-02,9.96874e+04,2.86669e+02,3.95316e+00,0.00000e+00,0.00000e+00,3.65000e-01,0.00000e+00,0.00000e+00
1.20141e+00,1.94026e-02,9.86122e+04,2.85793e+02,6.57722e+00,0.00000e+00,0.00000e+00,3.75000e-01,0.00000e+00,0.00000e+00
1.18750e+00,3.09993e-02,9.70286e+04,2.84496e+02,1.04845e+01,0.00000e+00,0.00000e+00,3.85000e-01,0.00000e+00,0.00000e+00
1.16791e+00,4.75632e-02,9.48150e+04,2.82670e+02,1.60350e+01,0.00000e+00,0.00000e+00,3.95000e-01,0.00000e+00,0.00000e+00
