"density","mach","pressure","temperature","vel_x","vel_y","vel_z","Points:0","Points:1","Points:2"
1.22500e+00,1.60477e-35,1.01325e+05,2.88000e+02,5.46093e-33,0.00000e+00,0.00000e+00,5.00000e-03,0.00000e+00,0.00000e+00
1.22500e+00,3.69363e-34,1.01325e+05,2.88000e+02,1.25692e-31,0.00000e+00,0.00000e+00,1.50000e-02,0.00000e+00,0.00000e+00
1.22500e+00,6.68381e-33,1.01325e+05,2.88000e+02,2.27446e-30,0.00000e+00,0.00000e+00,2.50000e-02,0.00000e+00,0.00000e+00
1.22500e+00,1.07466e-31,1.01325e+05,2.88000e+02,3.65701e-29,0.00000e+00,0.00000e+00,3.50000e-02,0.00000e+00,0.00000e+00
1.22500e+00,1.60246e-30,1.01325e+05,2.88000e+02,5.45306e-28,0.00000e+00,0.00000e+00,4.50000e-02,0.00000e+00,0.00000e+00
1.22500e+00,2.25576e-29,1.01325e+05,2.88000e+02,7.67622e-27,0.00000e+00,0.00000e+00,5.50000e-02,0.00000e+00,0.00000e+00
1.22500e+00,3.01633e-28,1.01325e+05,2.88000e+02,1.02644e-25,0.00000e+00,0.00000e+00,6.50000e-02,0.00000e+00,0.00000e+00
1.22500e+00,3.82553e-27,1.01325e+05,2.88000e+02,1.30180e-24,0.00000e+00,0.00000e+00,7.50000e-02,0.00000e+00,0.00000e+00
1.22500e+00,4.56419e-26,1.01325e+05,2.88000e+02,1.55317e-23,0.00000e+00,0.00000e+00,8.50000e-02,0.00000e+00,0.00000e+00
1.22500e+00,5.04473e-25,1.01325e+05,2.88000e+02,1.71669e-22,0.00000e+00,0.00000e+00,9.50000e-02,0.00000e+00,0.00000e+00
1.22500e+00,5.04287e-24,1.01325e+05,2.88000e+02,1.71606e-21,0.00000e+00,0.00000e+00,1.05000e-01,0.00000e+00,0.00000e+00
1.22500e+00,4.39822e-23,1.01325e+05,2.88000e+02,1.49669e-20,0.00000e+00,0.00000e+00,1.15000e-01,0.00000e+00,0.00000e+00
1.22500e+00,3.17452e-22,1.01325e+05,2.88000e+02,1.08027e-19,0.00000e+00,0.00000e+00,1.25000e-01,0.00000e+00,0.00000e+00
1.22500e+00,1.75790e-21,1.01325e+05,2.88000e+02,5.98203e-19,0.00000e+00,0.00000e+00,1.35000e-01,0.00000e+00,0.00000e+00
1.22500e+00,6.22342e-21,1.01325e+05,2.88000e+02,2.11779e-18,0.00000e+00,0.00000e+00,1.45000e-01,0.00000e+00,0.00000e+00
1.22500e+00,3.01782e-20,1.01325e+05,2.88000e+02,-1.02695e-17,0.00000e+00,0.00000e+00,1.55000e-01,0.00000e+00,0.00000e+00
1.22500e+00,1.73764e-19,1.01325e+05,2.88000e+02,-5.91310e-17,0.00000e+00,0.00000e+00,1.65000e-01,0.00000e+00,0.00000e+00
1.22500e+00,1.32428e-16,1.01325e+05,2.88000e+02,4.50645e-14,0.00000e+00,0.00000e+00,1.75000e-01,0.00000e+00,0.00000e+00
1.22500e+00,1.11169e-15,1.01325e+05,2.88000e+02,3.78303e-13,0.00000e+00,0.00000e+00,1.85000e-01,0.00000e+00,0.00000e+00
1.22500e+00,6.33455e-15,1.01325e+05,2.88000e+02,2.15561e-12,0.00000e+00,0.00000e+00,1.95000e-01,0.00000e+00,0.00000e+00
1.22500e+00,3.49997e-14,1.01325e+05,2.88000e+02,1.19102e-11,0.00000e+00,0.00000e+00,2.05000e-01,0.00000e+00,0.00000e+00
1.22500e+00,1.88809e-13,1.01325e+05,2.88000e+02,6.42504e-11,0.00000e+00,0.00000e+00,2.15000e-01,0.00000e+00,0.00000e+00
1.22500e+00,9.94060e-13,1.01325e+05,2.88000e+02,3.38273e-10,0.00000e+00,0.00000e+00,2.25000e-01,0.00000e+00,0.00000e+00
1.22500e+00,5.11909e-12,1.01325e+05,2.88000e+02,1.74200e-09,0.00000e+00,0.00000e+00,2.35000e-01,0.00000e+00,0.00000e+00
1.22500e+00,2.57532e-11,1.01325e+05,2.88000e+02,8.76367e-09,0.00000e+00,0.00000e+00,2.45000e-01,0.00000e+00,0.00000e+00
1.22500e+00,1.26364e-10,1.01325e+05,2.88000e+02,4.30008e-08,0.00000e+00,0.00000e+00,2.55000e-01,0.00000e+00,0.00000e+00
1.22500e+00,6.03659e-10,1.01325e+05,2.88000e+02,2.05422e-07,0.00000e+00,0.00000e+00,2.65000e-01,0.00000e+00,0.00000e+00
1.22500e+00,2.80282e-09,1.01325e+05,2.88000e+02,9.53784e-07,0.00000e+00,0.00000e+00,2.75000e-01,0.00000e+00,0.00000e+00
1.22500e+00,1.26252e-08,1.01325e+05,2.88000e+02,4.29628e-06,0.00000e+00,0.00000e+00,2.85000e-01,0.00000e+00,0.00000e+00
