"density","mach","pressure","temperature","vel_x","vel_y","vel_z","Points:0","Points:1","Points:2"
1.22500e+00,1.93860e-16,1.01325e+05,2.88000e+02,-6.59694e-14,0.00000e+00,0.00000e+00,5.00000e-03,0.00000e+00,0.00000e+00
1.22500e+00,7.78735e-17,1.01325e+05,2.88000e+02,-2.64999e-14,0.00000e+00,0.00000e+00,1.50000e-02,0.00000e+00,0.00000e+00
1.22500e+00,3.11082e-16,1.01325e+05,2.88000e+02,1.05859e-13,0.00000e+00,0.00000e+00,2.50000e-02,0.00000e+00,0.00000e+00
1.22500e+00,1.20436e-16,1.01325e+05,2.88000e+02,4.09836e-14,0.00000e+00,0.00000e+00,3.50000e-02,0.00000e+00,0.00000e+00
1.22500e+00,4.69412e-16,1.01325e+05,2.88000e+02,1.59738e-13,0.00000e+00,0.00000e+00,4.50000e-02,0.00000e+00,0.00000e+00
1.22500e+00,3.51407e-16,1.01325e+05,2.88000e+02,-1.19582e-13,0.00000e+00,0.00000e+00,5.50000e-02,0.00000e+00,0.00000e+00
1.22500e+00,2.96276e-16,1.01325e+05,2.88000e+02,1.00821e-13,0.00000e+00,0.00000e+00,6.50000e-02,0.00000e+00,0.00000e+00
1.22500e+00,1.42686e-16,1.01325e+05,2.88000e+02,-4.85552e-14,0.00000e+00,0.00000e+00,7.50000e-02,0.00000e+00,0.00000e+00
1.22500e+00,5.24891e-16,1.01325e+05,2.88000e+02,1.78617e-13,0.00000e+00,0.00000e+00,8.50000e-02,0.00000e+00,0.00000e+00
1.22500e+00,4.76177e-16,1.01325e+05,2.88000e+02,-1.62040e-13,0.00000e+00,0.00000e+00,9.50000e-02,0.00000e+00,0.00000e+00
1.22500e+00,1.28643e-16,1.01325e+05,2.88000e+02,4.37764e-14,0.00000e+00,0.00000e+00,1.05000e-01,0.00000e+00,0.00000e+00
1.22500e+00,7.38623e-17,1.01325e+05,2.88000e+02,2.51349e-14,0.00000e+00,0.00000e+00,1.15000e-01,0.00000e+00,0.00000e+00
1.22500e+00,1.78531e-15,1.01325e+05,2.88000e+02,6.07531e-13,0.00000e+00,0.00000e+00,1.25000e-01,0.00000e+00,0.00000e+00
1.22500e+00,4.90278e-15,1.01325e+05,2.88000e+02,-1.66839e-12,0.00000e+00,0.00000e+00,1.35000e-01,0.00000e+00,0.00000e+00
1.22500e+00,5.15392e-15,1.01325e+05,2.88000e+02,-1.75385e-12,0.00000e+00,0.00000e+00,1.45000e-01,0.00000e+00,0.00000e+00
1.22500e+00,2.15958e-14,1.01325e+05,2.88000e+02,7.34892e-12,0.00000e+00,0.00000e+00,1.55000e-01,0.00000e+00,0.00000e+00
